COUNTER;INTERPOLATED;RAW_CQ;AF3;F7;F3;FC5;T7;P7;O1;O2;P8;T8;FC6;F4;F8;AF4;GYROX;GYROY;TIMESTAMP;ES_TIMESTAMP;FUNC_ID;FUNC_VALUE;MARKER;SYNC_SIGNAL
68;0;502;4319,48717948718;4196,41025641026;4325,64102564103;4390,76923076923;4362,05128205128;4466,15384615385;4583,58974358974;4005,64102564103;4424,10256410256;4304,10256410256;4528,20512820513;4215,89743589744;4157,94871794872;4950,76923076923;1592;1740;71,983;15,0285406112671;0;0;0;0
69;0;486;4314,8717948718;4188,20512820513;4318,46153846154;4388,20512820513;4358,97435897436;4466,15384615385;4577,4358974359;4001,02564102564;4422,05128205128;4281,02564102564;4513,33333333333;4212,82051282051;4151,28205128205;4937,94871794872;1592;1741;71,989;15,0285406112671;0;0;0;0
70;0;456;4323,58974358974;4194,8717948718;4328,20512820513;4396,92307692308;4360,51282051282;4469,74358974359;4578,97435897436;4000;4424,10256410256;4278,97435897436;4507,69230769231;4216,92307692308;4154,35897435897;4944,61538461539;1593;1740;71,997;15,0285406112671;0;0;0;0
71;0;383;4324,61538461538;4195,38461538462;4327,69230769231;4394,8717948718;4358,46153846154;4468,71794871795;4580;4003,58974358974;4424,10256410256;4280;4506,66666666667;4217,4358974359;4157,94871794872;4951,28205128205;1592;1741;72,005;15,0285406112671;0;0;0;0
72;0;383;4316,92307692308;4184,10256410256;4322,05128205128;4386,66666666667;4354,35897435897;4469,23076923077;4584,61538461538;4010,76923076923;4425,12820512821;4274,35897435897;4502,05128205128;4217,4358974359;4159,48717948718;4953,33333333333;1594;1740;72,012;15,0285406112671;0;0;0;0
73;0;526;4320,51282051282;4181,02564102564;4328,20512820513;4390,76923076923;4353,33333333333;4474,35897435897;4589,74358974359;4011,79487179487;4428,71794871795;4272,30769230769;4501,02564102564;4227,69230769231;4164,61538461538;4960;1593;1740;72,02;15,0285406112671;0;0;0;0
74;0;465;4335,89743589744;4191,28205128205;4339,48717948718;4398,46153846154;4356,41025641026;4477,94871794872;4590,76923076923;4012,30769230769;4430,25641025641;4282,5641025641;4507,69230769231;4238,46153846154;4174,8717948718;4971,28205128205;1594;1740;72,028;15,0285406112671;0;0;0;0
75;0;452;4352,30769230769;4202,05128205128;4346,15384615385;4397,4358974359;4358,46153846154;4476,92307692308;4586,66666666667;4012,30769230769;4429,74358974359;4302,05128205128;4518,46153846154;4243,58974358974;4188,20512820513;4988,20512820513;1594;1739;72,036;15,0285406112671;0;0;0;0
76;0;352;4374,35897435897;4208,20512820513;4350,76923076923;4402,05128205128;4356,41025641026;4466,66666666667;4580,51282051282;4007,17948717949;4427,69230769231;4314,8717948718;4528,20512820513;4251,28205128205;4200;5006,15384615385;1594;1740;72,043;15,0285406112671;0;0;0;0
77;0;395;4402,05128205128;4213,33333333333;4358,46153846154;4409,74358974359;4353,84615384615;4455,89743589744;4578,46153846154;4007,17948717949;4424,10256410256;4320;4533,33333333333;4258,97435897436;4210,25641025641;5021,02564102564;1596;1739;72,051;15,0285406112671;0;0;0;0
